Longitud,Latitud,Valor
-72.47830,-52.20940,2.00000
-71.40220,-52.44140,0.90000
-71.96030,-52.54860,1.70000
-71.97470,-52.54920,1.50000
-70.07060,-52.56640,0.80000
-71.50190,-52.60420,0.90000
-71.96310,-52.65140,1.80000
-69.27720,-52.76810,0.90000
-69.29280,-52.77640,0.70000
-69.93190,-52.86970,1.00000
-71.57060,-52.88190,1.10000
-71.00250,-53.09190,1.50000
-70.87720,-53.12330,1.40000
-70.93580,-53.12500,1.70000
-70.98750,-53.13810,2.20000
-70.98310,-53.14420,2.30000
-70.98310,-53.14440,1.30000
-71.08330,-53.18420,2.20000
-70.37000,-53.29080,0.90000
-69.26750,-53.30560,0.90000
-68.66140,-53.32170,0.90000
-71.24970,-53.40250,2.30000
-69.65060,-53.63690,1.10000
-70.96670,-53.65000,1.50000
-70.95780,-53.65140,1.90000
-69.18920,-53.75940,1.20000
-69.99890,-53.85860,1.00000
-68.88440,-53.89280,0.80000
-68.91830,-53.89670,1.20000
-68.79970,-54.04970,1.00000
-68.95780,-54.05330,1.20000
-68.82420,-54.33780,1.60000
-68.82440,-54.50280,3.30000
-67.63920,-54.94690,1.50000
-70.33580,-18.35140,0.00000
-70.17860,-20.53970,0.00000
-70.44110,-23.45030,0.00000
-70.77420,-27.26390,0.00000
-71.20110,-29.91750,0.20000
-70.68280,-33.44500,0.80000
-71.21670,-34.96640,1.80000
-72.04000,-36.58720,2.80000
-73.06220,-36.77920,3.00000
-72.63690,-38.77000,3.30000
-73.08080,-39.65060,5.10000
-73.06080,-40.60500,3.60000
-73.09780,-41.43500,4.70000
-72.66390,-45.39610,7.30000
-72.10860,-45.59390,3.20000
-71.69420,-45.91280,1.60000
-71.69280,-46.58080,0.80000
-72.58640,-47.24390,2.00000
-70.84500,-53.00330,1.10000
-67.61560,-54.93170,1.40000
-58.96420,-62.19970,1.50000
-68.90720,-22.49890,0.00000
-109.42700,-27.16060,3.10000
-70.79440,-33.39190,0.70000
-70.54780,-33.45440,0.90000
-78.83500,-33.63670,2.80000
-71.61420,-33.65500,1.20000
-72.42250,-37.40280,3.60000
-72.70080,-42.93030,10.00000
-71.85250,-43.18890,5.70000
-71.80530,-43.61170,4.60000
-72.52890,-51.66720,0.90000
-70.32030,-53.18750,0.80000
-81.71700,12.58300,5.30000
-69.68100,11.41500,2.20000
-74.23100,11.12000,2.30000
-63.96700,10.91700,2.10000
-74.78100,10.89000,2.90000
-66.99100,10.60300,2.30000
-62.31700,10.58300,3.40000
-71.72800,10.55800,3.00000
-66.84400,10.48500,3.70000
-75.51300,10.44200,3.70000
-73.25000,10.43500,4.10000
-67.65000,10.25000,2.80000
-64.68900,10.10700,2.70000
-69.35900,10.04300,2.70000
-67.33300,9.91700,3.90000
-70.93300,9.81700,5.30000
-63.15300,9.74900,4.50000
-69.23800,9.55300,5.40000
-70.58400,9.34000,4.30000
-66.00000,9.23300,2.50000
-69.75500,9.02700,5.80000
-67.41700,8.92500,5.50000
-71.18300,8.60000,4.90000
-63.53700,8.12200,4.00000
-72.51200,7.92800,2.60000
-72.44000,7.84100,2.50000
-67.42000,7.68000,4.10000
-70.75600,7.21100,7.20000
-73.18500,7.12700,3.40000
-70.73700,7.06900,5.90000
-73.80700,7.02400,8.70000
-58.25000,6.50000,6.50000
-75.59100,6.22000,5.10000
-67.50000,6.16700,5.70000
-75.42300,6.16500,5.30000
-76.64100,5.69100,18.80000
-67.60600,5.62000,8.10000
-54.03300,5.50000,6.90000
-55.18800,5.45300,6.10000
-52.36700,4.83300,9.80000
-75.74000,4.81300,5.90000
-74.15000,4.70100,2.40000
-70.91700,4.55000,7.50000
-75.76600,4.45300,6.40000
-75.13300,4.42200,5.00000
